id,name,score,zip_code,city,state
50191,Blue Goose Cantina - Greenville Ave,4.7,75206,Dallas,TX
18873,Tarbouch,4.6,22201,Arlington,VA
39920,Capriotti's Sandwich Shop ,4.7,78723,Austin,TX
27724,Burger King ,4.6,22401,Fredericksburg,VA
13259,Pho Box,4.8,98057,Renton,WA
53971,Starbucks ,4.8,77365,Porter,TX
46212,Rudy's Grill &amp; Cantina,4.6,77429,Cypress,TX
36061,Red Lobster ,4.6,78666,San Marcos,TX
16150,Safeway Express ,4.9,98516,Olympia,WA
13793,7-Eleven ,4.7,98383,Silverdale,WA
40227,Beijing Wok,4.4,78749,Austin,TX
17262,MOD Pizza ,4.6,98104,Seattle,WA
15206,Subway ,4.8,98134,Seattle,WA
12981,Coriander Indian Curry House ,3.8,98031,Kent,WA
53042,Mainely Sandwiches,4.3,77024,Houston,TX
30946,Noodles &amp; Company ,4.7,84106,Salt Lake City,UT
46057,Rotisserie Roast ,4.8,77070,Houston,TX
42814,Subway ,4.5,75154,Red Oak,TX
47310,Bambu Asian Cuisine,4.7,75080,Richardson,TX
40674,Gigi's Cupcakes,4.8,78738,Austin,TX
10185,Wendy's  ,4.9,98683,VANCOUVER,WA
449,Saltgrass ,4.4,35244,Hoover,AL
62822,The Burger Den ,4.1,75237,Dallas,TX
15541,Takoyaki Express ,4.7,98122,Seattle,WA
27755,Bojangles ,4.8,24502,Lynchburg,VA
20482,Trattoria Al Volo,4.8,20008,Washington,DC
60769,Burns Original BBQ Bistro,4.5,77044,Houston,TX
26628,Crisp &amp; Juicy - International Dr.,4.8,20906,Silver Spring,MD
40043,Dos Batos Tacos,5,78757,Austin,TX
57750,IHOP ,4.5,76904,San Angelo,TX
33302,Black Rock Coffee ,4.8,75048,Sachse,TX
30734,Sweet Lake Biscuits &amp; Limeade ,4.5,84020,Draper,UT
63010,Deep Sushi,4.7,75226,Dallas,TX
27232,CVS ,5,20176,LEESBURG,VA
37541, Gyros Xpress ,4.8,76017,Kennedale,TX
12269,Sushi Tama,4.7,98406,Tacoma,WA
23192,7-Eleven ,4.6,20164,Sterling,VA
23984,Pollo Campero  ,4.5,23225,Richmond,VA
21874,China Cafe,4.6,20151,Chantilly,VA
9191,Belle Pastry ,4.5,98004,Bellevue,WA
